product_id,title,price,store_id
1084,PORTATIL MACBOOK AIR 2017/I5/8GB RAM/128GB SSD ( 13 ),599.95,1
1946,GOOGLE CHROMECAST 3GEN,29.95,4
2194,MULTIHERRAMIENTA DREMEL 3000 CON MALETIN Y ACCESORIOS,39.95,1
2213,TELEFONO MOVIL SAMSUNG GALAXY S21+ 5G 128GB PRECINTADO,699.95,0
2308,MARTILLO PERCUTOR MILWAUKEE HD18 H M18+BATERIA 12.0AH+MALETIN,314.95,3
2360,DISCO DURO MULTIMEDIA GIGA TV HD 730 1TB,32.95,2
2735,XIAOMI MI TV STICK CON CONTROL REMOTO A ESTRENAR,24.95,1
3924,AURICULARES BEATS SOLO 3 COLOR ORO ROSA,79.95,1
7525,CASCO FOX HELMET V3 PILOT / NEGRO Y ROJO,89.95,1
8948,CAMARA INSTANTANEA POLAROID NOW EDICION MANDALORIAN,89.95,1
9988,PALETAS DE PIN PON TTR560,4.95,1
10090,MOVIL HUAWEI P SMART 32GB LIBRE + CAJA + CARGADOR,84.95,4
10996,GUITARRA CLASICA FENDER ESC105 + FUNDA + CUERDAS + AFINADOR,119.95,3
11560,ROYAL ENFIELD Continental  GT,2990.0,2
11592,DUCATI MONSTER S2R 800 promo,3590.0,2
12510,FRESADORA DE SUPERFICICE MAKITA RP1110C 1100W AZUL,189.95,4
13014,MANDO PS4 EDICION LIMITADA 20TH ANIVERSARY COLOR GRIS,74.95,1
13077,CONSOLA XBOX 360 4GB + MANDO + CABLES + CAJA,44.95,3
13457,FOCO DE LED INSPIRE VASTO  152 LUMENS Z+,4.95,2
13965,YAMAHA X MAX 250,1590.0,4
14263,"ESPRIMIDOR ""A ESTRENAR""  PHILIPS HR2752 85W",19.95,1
14306,RAQUETA DE PADEL INESIS DUALT 75 34MM,14.95,4
14545,RADIO CD CON USB INVES RCD-624 CON CABLE COLOR BLANCO,22.95,1
14635,RATON GAMING RAZER BASILISK V2,34.95,3
14721,DUCATI Monster 821,6390.0,4
14918,DUCATI MONSTER S2R 800 promo,3490.0,1
15050,GAFAS DE SOL VERSACE 2550Q + FUNDA,109.95,4
15189,Pulsera media caña articulada,919.0,3
15259,KAWASAKI VERSYS 650,3790.0,2
15493,TELEFONO MOVIL XIAOMI MI 11T 256GB 8GB CON CAJA Y CARGADOR,369.95,2
15603,MOVIL SAMSUNG S21 PLUS 5G 8/256 CAJA LIMITED EDITION CAJA CARGADOR EARBUDS PRO,599.95,0
15644,FIGURA DE ACCION BATMAN BAT TECH ALAS EXTENSIBLES 30CM *A ESTRENAR*,21.95,4
15657,SILLA PARA COCHE PARA NIÑOS NANIA F9 15-36KG,24.95,3
15809,TELEFONO XIAOMI REDMI NOTE 10S 6GB RAM 128GB ALM SIN USO,229.95,3
15843,HONDA CB 650F,5240.0,3
15900,MOCHILA GAMER 38L CAPACIDAD CATURIX CUMBATTANT,49.95,0
15938,TALADRO TIM & BROWN 710W + MALETIN (A),24.95,4
16183,MOVIL XIAOMI MI 10T 6/128GB GRIS CON CARGADOR,220.0,1
16265,RELOJ CASIO W96H CORREA NEGRA+CAJA,22.95,1
